端口id,端口带宽
0,1663
1,898
2,399
3,142
4,1273
5,863
6,1259
7,998
8,1758
9,567
10,513
11,1464
12,514
13,308
14,1998
15,105
16,744
17,787
18,478
19,1791
20,1190
21,537
22,954
23,1653
24,268
25,1422
26,156
27,164
28,691
29,1317
30,1553
31,682
32,1524
33,822
34,1013
35,1781
36,1120
37,506
38,411
39,428
40,1509
41,1789
42,1313
43,830
44,1736
45,420
46,227
47,1863
48,1199
49,1831
50,896
51,1713
52,1114
53,1201
54,1175
55,1631
56,174
57,859
58,1131
59,976
60,392
61,1553
62,935
63,538
64,574
65,800
66,939
67,1510
68,1593
69,895
70,1377
71,1919
72,853
73,182
74,715
75,1855
76,1900
77,1294
78,1118
79,1144
80,537
81,850
82,573
83,1796
84,387
85,437
86,1807
87,1125
88,246
89,523
90,1696
91,1877
92,983
93,592
94,1875
95,1618
